function	S1_S16	S2_S16	S3_S16	S4_S16	S5_S16	S6_S16	S1_m	S2_m	S3_m	S4_m	S5_m	S6_m
K00390	6724.53	8768.31	9581.22	8495.52	9992.73	10253.14	10406	10190	11446	9171	10614	10393
K00392	381.17	998.25	949.91	1052.81	1341.05	2366.01	1226	1792	1348	1613	1250	1828
K00394	17	51	20	4	6	0	0	7	0	7	0	8
K00395	17	51	20	4	6	0	0	7	0	7	0	8
K00404	6117.36	9477.16	13970.27	9313.29	15389.94	14516.35	17216	14790	18938	13311	17561	15085
K00405	5142.66	7765.89	11350.34	7025.57	14112.54	13259.85	15708	13365	17279	12029	16023	13632
K00406	5578.66	8743.39	11919.5	8621.29	14536.01	13989.34	16485	14049	18133	12644	16815	14330
K00407	5026.08	7639.39	11061.89	6870.4	14050.54	13169.35	15672	13099	17239	11789	15985	13361
K00410	94.5	126.5	117	171.5	44	53.5	5	17	5	16	5	18
K00411	3391.75	5111.31	7395.94	4817.59	8115.6	7350.08	8414	7487	9256	6738	8583	7637
K00412	3503.75	5341.81	7496.44	5219.59	8149.27	7398.41	8472	7699	9320	6930	8642	7853
K00413	3260.76	4969.31	7238.94	4575.09	8016.27	7291.91	8399	7443	9239	6699	8567	7592
K00423	14	29	10.67	94.34	9	3.67	0	6	0	5	0	6
K00425	10052.59	10924.7	12300.02	12373.51	12202.99	12875.06	13032	12477	14335	11230	13293	12727
K00426	9919.09	10592.2	11719.27	12969.59	12038.49	12909.06	12884	12571	14172	11314	13141	12823
K00427	2523.77	2329.42	1229.62	1689.66	839.98	871.94	692	751	761	676	706	766
K00428	2920.12	4671.9	6317	4811.14	2613.9	2358.19	2907	2993	3198	2693	2965	3052
K00430	1	2	2	5	0	0	0	0	0	0	0	0
K00432	14003.36	18390.67	19892.03	17611.03	24643.59	24690.24	26918	23696	29610	21327	27456	24170
K00433	2768.81	3350.35	3843.74	4367.07	8278.05	7858.68	8776	7067	9654	6361	8952	7209
K00435	16.83	3.42	45	24.83	15.33	21.75	9	50	10	45	9	51
K00436	28	5.5	27	38.5	14.5	2.5	5	20	5	18	5	20
