function	S1_S16	S1_m	S2_S16	S2_m	S3_S16	S3_m	S4_S16	S4_m	S5_S16	S5_m	S6_S16	S6_m	S7_S16	S7_m	S8_S16	S8_m	S9_S16	S9_m	S10_S16	S10_m	S11_S16	S11_m	S12_S16	S12_m	S13_S16	S13_m	S14_S16	S14_m	S15_S16	S15_m	S16_S16	S16_m	S17_S16	S17_m	S18_S16	S18_m
K00125	0	0	2	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	2	0	0	0	0
K00126	655	669	518	305	3565	252	6517	857	1619	349	921	399	302	858	3391	33	2073	344	848	166	224	254	522	176	518	643	4572	191	568	883	3197	597	332	797	405	123
K00127	15272	1670	3062	1099	6099	739	8906	1211	7095	889	3649	873	4839	2151	6143	792	3238	1447	1391	929	4641	945	3697	850	1152	2422	13440	611	1949	1449	5033	1582	1160	3842	7300	656
K00128	68009	7884	14603	7633	28594	7198	40183	5073	61163	5002	53460	5227	51234	13021	26983	8133	24804	12247	28561	11252	39130	11762	55070	6874	13644	17522	80215	2872	28070	9245	23202	7474	25791	11996	19589	3927
K00129	0	0	28	0	0	1	0	2	4	1	0	0	14	0	0	2	0	1	6	2	0	0	17	4	18	0	0	5	0	0	2	4	4	1	40	3
K00130	11581	2578	5626	1121	11760	1003	12045	3015	19837	1459	7184	1125	15823	2938	9492	2894	5409	2188	5736	1647	10344	3328	18120	1826	4742	3110	21825	682	4926	3720	10246	1419	9924	4891	2713	786
K00131	5895	436	864	339	2136	208	1853	702	5916	385	547	246	3890	760	2496	612	1319	447	1061	39	4505	1410	521	176	812	755	3883	101	962	784	2557	222	1924	1697	243	86
K00132	0	0	0	1	0	1	0	0	0	0	0	0	5	0	1	1	0	0	0	0	0	0	6	0	7	0	0	2	0	0	1	11	0	2	4	0
K00133	27026	3648	9177	3411	14816	2957	13474	1798	24616	2145	25838	2096	22111	5379	10508	3690	8627	4766	11760	5993	15388	5562	19239	3150	6995	5814	29836	1732	15452	5518	8666	4163	9047	4489	21347	2562
K00134	44713	5822	12594	5722	26408	4900	21959	3135	41470	3378	45456	3499	30840	10606	19483	5735	13476	7044	16311	7546	28204	9802	29713	4807	9616	8470	48313	2196	27268	10643	13948	5216	12522	7602	26067	3554
K00135	43292	6281	15607	4865	24344	4386	30178	4052	54157	3876	45125	2994	46315	8915	18410	7132	12299	9345	20158	7787	28349	8999	40941	5575	13586	9968	44552	2493	22024	7360	17401	5390	23706	8847	17040	2999
K00137	5785	981	2232	444	5204	325	3886	1329	10138	677	418	509	7711	1048	3887	1898	2027	674	2063	177	6874	2081	6937	632	1828	1498	14070	120	2055	1298	4232	151	4373	5391	510	187
K00138	26670	3314	5850	2834	14232	2902	11936	1535	24095	1835	24837	1927	14704	5267	9791	2775	6956	4507	10397	4699	14567	5230	13171	1794	4464	5598	29546	809	14697	6153	7043	1665	6885	5503	5915	1286
K00140	39319	3309	13169	3059	10136	1915	14124	3428	56715	3078	29176	1480	25295	6302	16814	6465	7394	7168	13499	5137	31202	8177	26070	2821	6436	6060	24948	1320	11178	5026	13163	2950	15332	6984	5506	1183
K00141	14579	913	1047	1302	4000	329	1153	139	12466	725	4901	348	6983	2182	2111	867	1970	1803	1822	585	8683	2162	878	702	1167	2887	4493	160	1999	671	1341	329	2462	1974	3804	541
K00145	27397	4339	7222	3941	16645	3110	14756	2420	24608	2696	25827	2378	17823	6065	12438	3290	9669	4749	11566	5216	15420	5574	13457	2646	5829	7441	34248	1586	15465	5838	10882	3856	8615	4697	9741	1753
K00146	2865	573	2365	232	3179	262	2253	1238	10080	606	286	315	10024	599	3783	1682	1905	694	1906	525	6208	1869	7460	910	2011	1141	7502	162	1447	742	3963	258	4465	6605	3375	417
K00147	25672	2584	6954	2920	11187	1865	12375	1644	22117	1925	21856	1323	21367	4702	9940	3066	5684	3204	7243	2835	14042	4182	18665	2928	6080	3460	14787	1447	11673	4780	7383	3468	8581	4301	20507	2316
K00148	3633	553	1843	295	2699	205	1225	751	5245	329	1484	158	7448	1541	2048	1008	970	326	5186	3296	6316	1404	6981	933	1337	920	3787	132	1146	731	2647	163	3200	1677	3586	469
K00150	0	0	78	2	0	1	25	2	2	1	1	1	141	2	5	6	3	0	86	3	0	0	131	4	390	0	0	61	0	0	5	123	101	0	40	6
K00151	1612	718	1198	573	1877	385	1513	651	5480	625	246	314	8357	722	2043	1109	1235	520	1352	901	3311	1022	7084	1085	1325	1727	5590	147	976	330	2344	297	2553	1923	6265	609
K00152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	6	0	0	14	0
K00153	2	0	1324	2	0	1	5	1	108	1	76	0	1481	1	0	763	0	31	909	412	0	3	13032	611	1095	1	8	72	148	1	0	144	1123	4	675	135
K00154	20671	1469	4419	1336	9114	855	3135	743	22956	759	10129	457	5871	3235	3947	1726	3230	3051	2807	782	10334	3118	2186	565	1854	2823	5772	633	4220	4556	3086	1014	3082	10252	1569	402
K00156	11259	1576	3263	1565	6337	1954	3949	382	10034	911	17311	1315	10210	2625	3613	1797	4225	2411	7776	4376	9962	3997	11966	1640	2672	3189	22854	406	12787	2315	1961	562	5227	694	4441	1105
K00158	0	3	146	3	4	2	143	2	3	2	1	3	348	4	1	81	1	5	129	3	2	1	131	57	234	1	14	72	0	6	4	31	115	53	51	2
K00161	9043	2441	7394	1978	8866	2333	10726	1567	11339	1856	21336	1651	23379	2668	7782	2793	7118	3043	12310	6155	5893	3261	30045	4141	6405	3574	20519	1272	12723	2756	7352	3136	9859	1126	15572	2273
K00162	9043	2500	7466	2110	9099	2380	11075	1641	11339	1867	21336	1823	21607	2822	8664	2785	7651	3044	12273	5958	5893	3261	29812	3910	6341	3666	21008	1259	12747	2850	7702	3094	9823	1171	12849	2056
K00163	26235	2025	8772	2138	8447	1371	9481	1238	38878	1626	13527	920	24317	5024	6552	5213	3832	4463	7464	2452	24685	6501	25045	2826	6022	4789	18222	1025	6888	3602	5203	2227	12485	4245	6870	1194
K00164	26820	3638	7237	2982	14807	2949	13356	1794	24328	2134	25814	2095	17674	5270	10496	3171	8607	4684	11256	5188	15327	5540	13071	2634	4927	5800	29816	1408	15437	5502	8635	3391	8178	4429	10002	1732
K00166	2510	790	1750	205	3444	232	6896	838	5147	401	124	254	6937	855	2138	666	1415	390	2443	546	3168	1002	2014	527	2034	620	5085	407	698	1132	2964	748	4018	1933	704	223
K00167	2543	913	1812	216	3617	233	7036	860	5161	424	127	358	7066	1063	2265	674	1540	392	2470	546	3170	1008	2069	532	2135	715	5544	433	715	1226	3200	804	4107	2126	740	224
K00169	0	2	9	25	0	0	0	0	0	0	0	1	48	24	0	16	0	0	7	2	0	0	133	5	82	11	4	41	0	11	4	146	59	0	17	2
K00170	0	2	9	25	0	0	0	0	0	0	0	1	45	24	0	14	0	0	7	2	0	0	133	5	74	11	4	41	0	11	4	136	69	0	17	2
K00171	0	2	1	25	0	0	0	0	0	0	0	1	4	24	0	6	0	0	0	0	0	0	1	1	5	11	4	25	0	11	4	31	3	0	2	2
K00172	0	2	9	25	0	0	0	0	0	0	0	1	46	24	0	14	0	0	7	2	0	0	133	5	79	11	4	39	0	11	4	108	69	0	17	2
K00174	0	39	909	817	126	19	174	116	13	8	5	7	1259	229	128	180	200	3	335	25	0	3	1658	150	1203	57	110	521	17	43	895	1248	871	26	651	25
K00175	0	30	909	824	120	18	99	93	8	8	3	5	1286	189	99	180	197	3	329	24	0	2	1658	152	1203	32	104	512	17	25	772	1241	865	22	646	25
K00176	0	3	115	399	9	5	3	1	4	0	0	2	21	113	5	16	0	0	6	0	0	0	4	4	65	22	8	71	0	22	13	78	1	7	16	0
K00177	0	3	116	399	9	5	3	1	4	0	0	2	21	114	5	16	0	0	6	0	0	0	2	3	67	22	8	73	0	22	15	83	1	9	19	0
