function	S1_S16	S1_m	S2_S16	S2_m	S3_S16	S3_m	S4_S16	S4_m	S5_S16	S5_m	S6_S16	S6_m	S7_S16	S7_m	S8_S16	S8_m	S9_S16	S9_m	S10_S16	S10_m	S11_S16	S11_m	S12_S16	S12_m	S13_S16	S13_m	S14_S16	S14_m	S15_S16	S15_m	S16_S16	S16_m
K11535	2104	21	1739.83	8	1924.17	5	490.9	4	750.01	3	888.38	10	4894.07	6	193.33	7	2459.26	3	231.35	18	280.25	5	2606.67	11	1440	6	939.67	5	320.88	16	166.83	16
K11537	8457	68	3639.5	39	367.67	95	1340.5	32	7813.5	165	7921.5	66	2024.83	129	16734.33	52	462.67	25	1092.33	150	1677.5	16	7819	162	4487.5	45	6531	70	4696.67	71	5863.5	78
K11540	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
K11584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11594	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11600	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
K11601	36	1	37.75	5	175.25	2	638	14	357	1	6	1	81.83	1	1005.5	0	103.59	18	307.17	1	495	2	12	1	254	14	3	9	20	1	286	1
K11602	36	1	37.75	5	175.25	2	638	14	398	1	6	1	85.83	1	1005.5	0	111.59	18	322.17	1	498	3	12	1	254	14	3	9	20	1	286	1
K11603	36	1	37.75	5	175.25	2	638	14	357	1	6	1	81.83	1	1503.5	0	103.59	18	311.17	1	495	2	12	1	254	14	3	9	22	1	286	1
K11604	3544	32	1962.5	8	488.08	9	1427.5	11	1032	3	766.88	11	695.12	6	604.66	7	483.5	12	350.33	20	1187.5	9	3991.6	13	1674.5	10	934.5	10	227.67	17	608.9	10
K11605	3542	32	1956.5	8	177.08	9	1406.5	11	1028	3	766.88	11	684.12	6	481.66	7	249.5	12	92.33	20	1180.5	8	3989.6	13	1667.5	10	934.5	10	227.67	17	606.9	10
K11606	3542	32	1956.5	8	177.08	9	1406.5	11	1028	3	766.88	11	685.62	6	487.66	7	253.5	12	95.33	20	1180.5	8	3989.6	13	1667.5	10	934.5	10	227.67	17	606.9	10
K11607	3542	32	1956.5	8	177.08	9	1406.5	11	1028	3	766.88	11	684.12	6	481.66	7	249.5	12	92.33	20	1180.5	8	3989.6	13	1667.5	10	934.5	10	227.67	17	606.9	10
K11608	0	0	0	0	144.5	0	0	0	0	0	0	0	69	0	334	0	220	2	121	0	0	1	0	0	0	0	0	0	0	0	0	0
K11609	0	0	0	0	105.5	0	0	0	0	0	0	0	59	0	304	0	8	1	21	0	0	1	0	0	0	0	0	0	0	0	0	0
K11610	0	0	0	0	64.5	0	0	0	0	0	0	0	55	0	298	0	10	1	15	0	0	1	0	0	0	0	0	0	0	0	0	0
K11611	0	0	0	0	64.5	0	0	0	0	0	0	0	55	0	298	0	8	1	13	0	0	1	0	0	0	0	0	0	0	0	0	0
K11614	0	0	2.66	1	41	1	2	1	85.34	1	0	0	363.66	0	0	0	79.66	2	12	1	3.75	1	1.34	0	10.5	1	3.34	1	3.34	1	0	1
K11615	0	0	1.33	1	41	1	2	1	78.67	1	0	0	363.33	0	0	0	74.33	2	12	1	4.25	1	0.67	0	5.5	1	1.67	1	1.67	1	0	1
K11616	0	0	0	0	49	1	0	1	0	1	0	0	734	0	0	0	46	1	1	1	2.75	0	0	0	0.5	1	0	1	0	1	0	1
K11617	0	0	7.33	1	373.24	1	7.6	1	10.81	1	0	0	797.16	0	10	1	299.16	2	171.66	0	3	3	0.67	1	13	1	3.67	1	3.96	1	2.4	2
K11618	0	0	7.33	1	583.24	1	7.6	1	10.81	1	0	0	460.66	1	10	1	347.16	3	241.66	0	3	7	0.67	1	16	1	3.67	1	3.96	1	2.4	2
K11619	0	0	3	0	308.67	0	0	0	0	0	0	0	785.33	0	5	0	248.33	2	77	0	0	3	0	0	0	0	0	0	0	0	0	1
K11621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0
K11622	0	0	3	0	234.67	0	7	1	0	0	0	0	397.33	0	10	0	97.33	1	91	0	0	3	0	0	1	1	2	1	2	0	0	0
K11623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
K11624	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
K11626	0	0	0	0	0	0	0	0	0	0	0	0	10.5	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
K11629	0	0	3	0	93	0	0	0	0	0	0	0	56.5	0	0	0	157	2	62	0	0	1	0	0	0	0	0	0	0	0	0	1
K11630	0	0	3	0	93	0	0	0	0	0	0	0	56.5	0	0	0	157	2	62	0	0	1	0	0	0	0	0	0	0	0	0	1
K11631	0	0	3	0	93	1	0	1	0	0	0	0	56.5	0	0	0	157	2	62	1	0.75	1	0	0	0.5	1	0	1	0	1	0.33	1
K11632	0	0	3	0	97.2	1	0.4	1	3.2	0	0	0	56.5	0	0	0	160.6	2	134.6	1	0.75	1	0	0	0.5	1	0	1	0	1	0.33	1
K11634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
K11635	0	0	6	0	364.42	0	0	0	0	0	0	0	841.83	0	0	0	392.33	2	100.75	0	0	3	0	0	0	0	0	0	0	0	0	2
K11636	0	0	3	0	240.75	0	0	0	0	0	0	0	1519	0	0	0	316	2	48.75	0	0	2	0	0	0	0	0	0	0	0	0	2
K11637	2	1	6	1	314	1	21	1	4	0	0	0	11	1	123	0	250	2	269	1	7	1	2	1	7	1	0	1	0	0	2	0
K11638	2	1	6	1	314	1	21	1	4	0	0	0	11	1	123	0	250	2	269	1	7	1	2	1	7	1	0	1	0	0	2	0
K11640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11645	2788	24	2273.5	5	992.02	10	1327.5	9	2906.9	2	759.88	19	2172.64	4	1319	6	2255.34	8	749	25	1287.5	43	3993	75	2058.5	10	128.5	7	270	36	299.5	10
K11646	0	0	0	0	1.14	0	0	0	50	0	0	0	2.14	0	0	0	17	1	9	0	2	1	0	0	0	1	0	0	0	0	0	1
K11647	1633	3	507	5	0	5	0	2	202	2	161	3	0	4	67	0	0	1	109	11	15	1	1047	56	13	1	312	1	280	14	352	2
K11648	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11685	2104	21	1729.5	1	16.38	5	483.5	4	737	2	613.88	10	373.12	3	8	6	0	1	0	18	272.5	1	2606	11	1433.5	6	40.5	3	86	16	156.5	5
K11686	0	0	0	0	39	0	0	0	0	0	0	0	367.5	0	5	0	46	1	14	0	0	1	0	0	0	0	0	0	0	0	0	0
K11688	1560.72	17	1151.08	50	1390.41	7	3783.28	22	1244.02	4	2607.63	9	4613.3	7	242.36	35	1227.4	22	1377.37	31	2482.35	39	1108.08	10	2291.75	11	820.5	21	1928.5	16	1915.35	21
K11689	1554.72	17	1142.08	50	848.91	6	3767.28	22	1242.02	4	2607.63	9	4006.3	7	149.45	35	570.4	11	1046.37	31	2424.35	29	1104.08	10	2184.75	11	803.5	21	1896.5	16	1892.35	20
K11690	2003.72	19	1658.08	51	1234.41	10	4196.28	23	2287.02	4	2609.63	18	4095.3	7	350.11	35	1202.4	15	1571.37	38	2803.1	48	1806.08	63	2476.25	14	803.5	24	1896.5	31	1902.35	20
K11691	0	0	6	0	209	0	0	0	28	0	0	0	443	0	0	0	334	0	83	0	0	2	0	0	0	0	0	0	0	0	0	2
K11692	0	0	9	0	294	0	0	0	28	0	0	0	483	0	0	0	478	0	120	0	0.5	3	0	0	0	0	0	0	0	0	0	2
K11693	0	0	0	0	114.87	1	0.4	1	3.2	0	0	0	13.33	0	0	0	52.93	3	121.6	1	0.75	2	0	0	0.5	1	0	1	0	1	0.33	1
K11694	0	0	0	0	4.2	1	0.4	1	3.2	0	0	0	0	0	0	0	7.6	1	72.6	1	0.75	1	0	0	0.5	1	0	1	0	1	0.33	1
K11695	0	0	0	0	4.2	1	0.4	1	3.2	0	0	0	0	0	0	0	7.6	1	72.6	1	0.75	1	0	0	0.5	1	0	1	0	1	0.33	1
K11704	0	0	4.33	1	146.27	1	8	1	18.15	1	0	0	25.16	0	5	1	63.76	1	191.26	1	6.75	2	0.67	1	19.5	1	3.67	1	4.25	1	4.73	1
K11705	2	0	14	1	286.27	1	18	1	69.15	1	0	0	37.83	1	72	1	174.76	1	362.51	1	6.75	6	0.67	1	13.5	1	5.67	1	4.25	1	10.73	1
K11706	0	0	5	1	165.27	1	15	1	23.15	1	0	0	25.83	0	10	1	90.76	1	248.26	1	3.75	2	0.67	1	14.5	1	3.67	1	6.25	1	2.73	1
K11707	93	1	3	1	113.47	1	9	1	0	0	0	1	53	1	80.5	0	243.5	1	101.6	1	5	4	223	1	0	1	0	1	0	1	0	1
K11708	93	1	3	1	113.07	1	9	1	0	0	0	1	53	1	80.5	0	243.5	1	100.8	1	5	4	223	1	0	1	0	1	0	1	0	1
K11709	93	1	3	1	113.07	1	9	1	0	0	0	1	53	1	80.5	0	243.5	1	100.8	1	5	4	223	1	0	1	0	1	0	1	0	1
K11710	93	1	3	1	138.57	1	9	1	41	0	0	1	71	1	80.5	0	299.5	1	165.05	1	8	6	223	1	0	1	0	1	0	1	0	1
